,toxic,not_toxic
28479,they're gonna cut us up!,They'll whittle us down!
28480,Just one more dead one.,just another dead one.
28481,"What the hell's the matter with you, Staros?","what's gotten into you, Staros?"
28482,"I'm saying that in this case, you'll be dead too!","You're dead, too, in that scenario."
28483,Damn it. What about them?,what about them?
28484,"""dirty.","""Messy."
28485,"ass, why don't you come with me to the Japanese place?","Shawty, instead of taking Japanese here, why not just go there with me?"
28486,You'd finally get to meet all my idiot friends.,you'd finally meet all my crazy friends.
28487,"if you want to fuck me up, Sakura-chan, can't you do it before you hit me?",If you're going scold me Sakura could you do it before hitting me?
28488,get out of the fucking car!,Move it! Get out of the way!
28489,"you, you... unreasonable... pompous, thrilled, old talker!","Why, you, you unreasonable, - Huh? Who?"
28490,you have learned that half-Chinese don't have a place in this world.,You were told that halflings have no place in the world.
28491,"if I'm too hasty, I'll cut my wrist.","If I hurried too much, I'd end up slitting my own wrist."
28492,"""Would they kill him?""","""would he be killed?"""
28493,you killed her.,What? – You killed her.
28494,These photographs are disgusting. But they're not proof Fleming raped Leah Shepard.,"the photos are disgusting, but they don't prove that Fleming raped Leah Shephard."
28495,Just shut up.,be quiet.
28496,"I'll do what you want, except go back to Sam's pack and be the pathetic ex-girlfriend he can't get away from.","I'll do whatever you want, but I'm not going back to the pack where I'm just poor Sam's ex."
28497,"Don't be such a fool, Jane.","don't be crazy, Jane."
28498,"""I'm a fool about the gas.","""I'm crazy about the gas."
28499,wasn't it better to follow the enchanting leader to the brother of hell than any of the average general for a stupid defeat?,"Was it not better to follow a charismatic leader to the gates of Hell, rather than a mediocre general to a dull defeat?"
28500,"your wife had to have intercourse with two different men during one ovulation cycle, within 48 hours.","Your wife must have had intercourse with two different men during the same ovulation cycle, within a 48-hour period."
28501,"for him, a lump like this would be like a slice of bloody roastbeefy.",For him a setup like that'd be just like a slice of rare roast beef.
28502,Ain't no such thing as a coward out here.,there is no such thing as a coward.
28503,I am talking to my friend! - She's crazy.,I'm talking to my girlfriend.
28504,The bastard light only!,non-marital light only!
28505,why don't they shoot?,Why isn't anyone firing?
28506,let's call it a security deposit... which none of us can get back when we fuck up... or we leave a mess.,We'll call it a security deposit... which neither of us will get back if we screw up... or if we leave a mess.
28507,You buy my shit every fucking day.,you buy goods from me every day.
28508,they got scared shitless.,They freaked people out. - Seriously!
28509,goddamn Newton.,Blasted Newton.
28510,"Did you get a dog? No, silly.","God, did you get a dog?"
28511,There's some crazy motherfuckers walking around.,there's a crazy rabble roaming around.
28512,Then go rent a bulldozer and fill in the freaking pit.,then rent a bulldozer and fill it in.
28513,"The pusher was a criminal sociopath named Jack Mort, Walter's representative on the New York level of the Dark Tower.","the one who pushed Jake was the criminal sociopath of Jack Mort, Walter's official at the New York level of the Dark Tower."
28514,You were supposed to shut up and follow me.,you should have kept quiet and followed me.
28515,"I hear myself mooning over you, and it's disgusting.","I hear myself drowning, that's disgusting."
28516,"the king hates ""dirty Italians.""",The King loathes Italian manners.
28517,That ain't the frigging Christmas star.,it's not a Christmas star.
28518,"I don't know what the hell they are, but people they ain't.","I don't know who he is, but people don't."
28519,are they insane?,Are they mad?
28520,it smells like the meat murder of skunks.,Smells like a skunk massacre happening up in here.
28521,Pathetic.,a sad sight.
28522,I can't believe this mole is a traitor.,I can't believe the mole was the mole.
28523,You said the same thing happens when men become killers.,you said the same thing about people who become murderers.
28524,"Listen, why don't you give us the slug, we'il punish him appropriately and we are out of your hair.","listen, why don't you give us the slug, we'll punish him properly and get out of here."
28525,"Thank you. Oh, you little stinker Oh, you sweet little muffin","you little punk, you sweet little muffin."
28526,"She was a brilliant scatterbrain, and her desk had always reflected that.","she was a brilliant mess, and her desk always turned it around."
28527,"Somebody runs out of something... ...some goddamn egg rolls, and off you go,you and Edith.","something's going to happen...... like a rock, and you don't go get yours and Edith."
28528,"if it's hilarious, it's dead.","If it's that one, it's hilarious."
28529,you must have a really bad life.,You must really be having a bad life.
28530,"Then the two ugly bomb-ketches, and then the other sloop, Raven, just ahead of Nonsuch;","then there were both unheeled bombs, and the other sloop Roven, riding in front of Nonsuch."
28531,You don't have to be such a suck-up.,you don't have to be so nosy.
28532,That littleitch you need to scratch.,the little itch you need to scratch.
28533,No fucking vegetables.,no vegetables.
28534,"Yes, he is just dreadful.","yes, it's terrible."
28535,he probably dug her out of the garbage.,He's probably just nosing through the trash there.
28536,"God, they suck.","God, that was terrible."
28537,"I don't know how you would kill me, it could solve your problems.",I don't see how killing me is gonna solve your problems. I'm the only one out here.
28538,it would only be ridiculous animals in zoos.,They'd just be funny-looking animals in zoos.
28539,"God, that was fucking... cool.","Oh, my god. That was so fucking intense."
28540,To hell.,"oh, hell."
28541,Yeah. you damn right you won't.,"yeah, you're damn right we don't."
28542,"because nothing makes us feel any better, even if we have ankles behind our ears, rather than making our hair look ridiculous.","Nothing makes us more insecure, even with our ankles behind our ears, than our hair looking all funny."""
28543,I'm not going to incinerate her.,I won't cremate her.
28544,I never had an erection until I met a girl.,I'd never had a hard-on on until I met this wonderful person.
28545,Going to the mall and getting lattes while I'm bustin' my ass to support you ...,"you go to the mall and for the Lattes, while I'm chasing you to secure..."
28546,"what, let's get drunk out of cheap whiskey and fist-bang on the wall?","What, getting drunk on cheap whiskey and smashing your fist through a wall?"
28547,this is exactly what I never want to do with you.,This is exactly why I never don't want to do anything with you anymore.
28548,"If I've done nothing wrong, throwing a punch back makes me as bad and corrupt as them.","if I have done nothing wrong, returning wounds make me as bad and rotten as they are."
28549,"Surely everyone knows - even ""ignorant peasants"" like myself -that the creature is only a character in a story by a clever Englishman, written at the turn of the century?","now everyone knows - even the ""uneducated peasants"" like me - that this creature is just a character from a book written in a century by a clever Englishman."
28550,It's too damn much.,it's too much!
28551,"guys, I'm Oscar... Liar... Wiener.","Hey, guys, I'm an Oscar..."
28552,What has that bastard Foul to do with me? he demanded bitterly.,what did this evil Foul have to do with me? He pleaded bitterly.
28553,She was sucking all their attention her way.,she drew all her attention.
28554,that's... nonsense.,That's...crazy.
28555,"that son of a bitch from the army who sold his guns Byz Lats, he said he was bought by some Garza.",Army scab who sold the Byz Lats their guns... ...says the buyer's name was Garza.
28556,"I said no, asshole.","I said no, pecker breath."
28557,"Sometimes I wonder what I would be like if left to revert to nature — with a full beard and handlebar moustache on each shin, Dennis Healey eyebrows, face a graveyard of dead skin cells, spots erupting, long curly fingernails like Struwelpeter, blind as bat and stupid runt of species as no contact lenses, flabby body flobbering around.","sometimes I wonder what I would have looked like if I had decided to go back to nature - with a beard and a donkey mustache on both hollows, with breezy eyebrows, a quirky face, resembling a cemetery of wayward cells, long, bumpy nails, like Old-fashioned Edward, a pasta body split on all sides, and blind like a kitten without contact lenses."
28558,"In fact, they had to guillotine her intestine as well as her head.","in fact, they must have cut her gut, not just the head."
28559,decapitated devil.,A ten-headed demon
28560,I hate her.,I can't stand her.
28561,"she fucked herself up on her back, didn't she?","She got on herback all by herself and screwed everything up, didn't she?"
28562,Keep your shit together. if you wanna get 'em out of here.,stay with us if you want to get them out of here.
28563,Do you think we're fucking around here?,do you think we're just fooling around?
28564,how do I destroy this dog?,How am I gonna ruin the dog?
28565,You being fucking funny?,are you kidding me?
28566,"""he'll bury them beside him.""","""They'll bury them side by side."
28567,"""How the fuck did he get all of these cigarettes ""into this desk?""","""how could he put so many cigarettes on the table?"""
28568,"Soon we'll have new recruits and you lot will be passed along to the lord commander for assignment, and they will call you men of the Night's Watch, but you'd be fools to believe it.","we'll soon have new recruits, and you will step in front of Lord Commander for assignment, and they'll call you the Night's Watch, but you'd be crazy to believe it."
28569,Just what the hell do you think you're doing?,what do you think you're doing?
28570,go to the destruction of the world!,Ride for ruin... ...and the world's ending!
28571,I am completely fucking lost.,I'm completely lost.
28572,Lasse needs to be figured out he's got two lesbians in the family.,It must be hard for Lasse having two dykes in the family.
28573,He told fucking Remo everything.,he told Remo everything.
28574,you're gonna crush Lucas.,You'll squish Lucas.
28575,"no, it's a cannibal, baby.","No, no... that's a cannibal"
28576,"I´m sick of this shit, you know that?","I'm sick of it, you got that?"
28577,"You know, most guys don't just forget About the time they had sex in a public pool.","you know, most guys just don't forget the times they made love in a public pool."
28578,"If this were another doctor, if the patient were complaining about, let's say, I don't know, Foreman, you'd just dismiss this as the paranoid bitching of another paranoid bitch.","if a different doctor had done it, if the patient had complained, I don't know, maybe at Foreman, she would have let it go like the paranoid whine of another paranoid hen."
28579,"oh, this is... this is just a great wide assortment of dumb -- sweet bean spice...","Oh, this is - this is just awesome - a choice assortment of jerky - sweet-bean spice..."
28580,One fine-ass motherfucker with pretty new eyelashes.,one thick cat with hot new eyelashes.
28581,It's not like the little trollop's gonna step out onto the street and let us shoot her full of lead.,it's not going to be like when a little tramp comes out on the street and we blow the lead.
28582,"Everybody, quiet down. Hey, shut up !","be quiet for a second, calm down."
28583,PAIGE: Don't touch me!,don't touch me!
28584,"Donny honked his idiot laugh, only now even his laugh was nearly beautiful.",there was a silly laugh that sounded almost wonderful in the moment.
28585,"maybe it was silly, but it wasn't your fault.",But it's not your fault that you did it-- it was his.
28586,Committing her to a mental institution...,the way you put her in a mental institution?
28587,you look like a virgin.,"You seem like a virgin, Billy."
28588,You thought you could leave my gross sister at the altar?!,you thought you could go and leave my sister at the altar?!
28589,I screwed up.,I messed it up.
28590,Get him the hell out of here!,get him out of here!
28591,"Oh, stop talking trash on my Ravens, homeboy.","stop throwing dirt at my Ravens, mate."
28592,Where the hell did I find you two?!,where have I found you two?
28593,"Damn it, why did I ever think you were smart?","hell, why did I just think you were smart?"
28594,My little goddamned genius!,my little genius.
28595,"Well, in many ways, a good mongrel dog is like a Negro.",it's like a black man in many ways.
28596,we crushed him.,We did it.
28597,"Easy with the gung ho crap, guys.","take it easy, you gung ho enthusiast."
28598,he's such a sleazebag.,He's such a little skeez.
28599,"he's crazy, you'll see.","He's a weirdo, you'll see."
28600,I don't want you to be executed by the same profession as me.,I don't wantthose bozos in the same profession as me.
28601,you look like a cat they've just castrated.,"Ooh, you look like a cat that's just been spayed."
28602,what is this nonsense?,What is this doohickey?
28603,"someone outside needs to be killed, and we're going to be a nuisance to the police, no.","There's someone out there getting murdered, and we're gonna bother the police? No."
28604,"Barney is going through something big, and I've been obsessing about one stupid final hookup to get him out of my system.","Barney is going through something serious, and I was obsessed with the last time I slept with him to get him out of my system."
28605,"""you're evil, Ed Morgan.""","""You're a bad one, Ed Morgan. """
28606,are you crazy or what?,Are you mad or something?
28607,"young students have gone nuts in a pliable skirt - que tetait loin, tout cell!","Young scholars dote on plenty of pleats—que c'était loin, tout cela!"
28608,There's nothing but garbage down there.,there's nothing but a mess.
28609,but her prince falls in love with the wrong girl...... and she will kill herself.,"But her prince falls for the wrong girl, and so she kills herself."
28610,"""it starts with a farewell kiss, a cookie, cut off, and before you know it, it's leftovers from lunch, a cold butt, and an overbearing in my mother-in-law.""","'It starts off kisses and cake and them cutting the crusts off, and next thing you know it's down to tongue pie, cold bum and the copper stick.'"
28611,I'll tear up these companies!,I will tear down those trusts.
28612,The ultimate killing machine.,a unique killing machine.
28613,"You know, for an ltalian kid, you ain't got a bad butt.","you know, you know, you're not that bad for an Italian kid."
28614,And we got to get Clay to take him off this cartel shit.,and we have to convince Clay to pull him out of the cartel.
28615,Do you actually think my destiny is here in this roach-infested shithole?,do you really think my fate is in this lousy dump?
28616,"Get the hell away from me, reg.","get away from me, Reg."
28617,Hold it. Any of you gay?,is there a gay guy?
28618,Like a 12-year-old's dick.,like a straw 12-year-old.
28619,don't fuck it up.,Don't screw up.
28620,"forgive me, body bleeding, that I'm mild and polite to these thugs.","Oh, pardon me, thou bleeding piece of earth, That I am meek and gentle with these butchersl"
28621,"Matter offact, let's all scream.","actually, we all scream."
28622,I'm gonna go throw up.,I think I have to go throw up.
28623,We're just trying to make this crazy ass world a little bit better.,we're just trying to make this thing a little better.
28624,"I'm hot, and I'm fuckin' bored.","no, it's hot, and I'm bored."
28625,Some can only be destroyed by hanging or decapitation.,some can only be destroyed by hanging or comforted.
28626,"I want you to get Key and them... Key, y'all put my shit on CD!","I want Key and-- Key, put it all on the CD!"
28627,why the hell would anyone want to leave you?,Why the heck would anyone leave you?
28628,"I just got out of jail, and I haven't slept, eaten or pardon me my lady, taken a decent crap in days.","ladies and gentlemen, I'm very sorry, but I've just got out of jail, and I haven't slept in a couple of days, I haven't eaten, and I haven't really cleaned up."
28629,"Right. Well, I'm gonna go hang.","okay, so... I'm gonna party."
28630,now that fool raised his quota to 50.,Now that nut has raised the number to 50.
28631,I made an ugly Tom for other people.,"The other people, I added an ugly version of Tom."
28632,"yeah, and hitting them is one step closer to a mental lawsuit.","Yeah, hitting me is one step closer to a spiritual lawsuit."
28633,she just stabbed me.,She just quit on me.
28634,"Damn! If I'd known it was our last time, I would've moaned more.","if I knew it was the last time, I'd be moaning."
28635,Are you fucking over this poor man?,do you want to undermine a poor man?
28636,He looks sick.,he seems to be sick.
28637,"Well, that's another fucking story, isn't it?","well, that's a different story, right?"
28638,you'll grow up alone and die by yourself.,You're born alone and you die alone.
28639,My only wish was that someone would take me... ...and toss me off the train so I'd bash my brains on the rails.,"I just wanted someone to grab me, and he threw me off the train so my brain would splash out on the rails."
28640,"That is one crazy, uncircumcised old man.",that's a pretty crazy old-timer.
28641,You just know she likes it dirty.,you'll know she likes it pretty wild.
28642,"And I suppose someone needs to convince the ssr Of howard's innocence, wanker or not.",and someone must convince the SSR of Stark's innocence.
28643,You were friends when you were kids. This makes you a fucking liability.,"you've been friends as kids, and you can't be impartial."
28644,"And her hand, dug in between their bodies, was wrapped around his erection.","and her hand, buried between the two bodies, wrapped around his twisted limb."
28645,an erection that will not go away (“priapism”).,"erections that don't go away (""priapism"")."
28646,"any criminal with his wit can smell a secret gulp from 20 paces, and I wouldn't do anything so crazy-sell them a package.","Any felon worth his salt can smell undercover cops from 20 paces, and there's no way in hell he'd do something crazy like sell pot to them,"
28647,I knew a sissy kidin school that covered up his answers.,I knew a guy in school who hid his answers.
28648,I'm hungry to die.,"I'm so hungry, I could die."
28649,"Sex attractants - pheromones - are extracted from one sex, put into traps,... ..to, uh... attract other insects of the opposite sex and kill them.","the attractive substances, or pheromones from one sex, are placed in a trap where they attract the insect of the opposite sex and kill it."
28650,"plus he's colorblind, so he's basically a cripple.","And, plus, he's color-blind, which basically makes him crippled."
28651,"If you do go all the way with Tim and you expect me to go in there afterwards, make sure he wears a condom.","if you're gonna do this with Tim, and you're gonna want me to shove it up there, keep an eye on the condom."
28652,"I'll probably have to give up someone valuable along with you, but as small as you are you are worse than useless.","I'm probably going to have to give up someone better at the same time, but the kind of scarring like that is useless, even worse."
28653,This nose. This hair. This ridiculous chin.,"the nose, the hair, the bad chin..."
28654,"She had a fading bruise under one eye, concealed under makeup, and she smelled faintly like sex, as if it had soaked into her clothes.","under one eye she had a fading bruise, hidden beneath a layer of makeup, felt slightly after sex, as if the scent had sucked into her dress."
28655,We'il pick off a couple on the street.,we'll take them down on the street.
28656,"oh, shit!",Dang!
28657,Get the hell out of my locker room!,get out of my closet!
28658,How can I leave this up to such a band of misfits?,how can I leave it to a band of lost existence?
28659,"No, a couple of goons jumped me and cut my head open.","no, a couple of guys broke my head."
28660,"still, the Chinese junk was quietly sailing a metre high, rolling against its bow from the east.",Yet the Ningpo-design Chinese junk sailed serenely through the one-meter-high swells that rolled against her bow from the east.
28661,That monster showed no mercy to those women.,the monster showed no mercy to the women.
28662,"They say if you don't come down, they'il blow up the house.","they say if you don't come down, they'll blow us all up."
28663,Marcos could do it with my bombs.,Marcos could've done this to my bombs.
28664,"After all I've been through, fuck him.",he'll be pissed after what I've been through.
28665,"Mister, my mama give me a silver dollar for every broke-neck pussy I bring home.",mom's giving me a dollar for every dead cat I bring home.
28666,"I'm still bringing her ass to jail, okay?",I'll bring her to jail anyway.
28667,let's get rid of her.,Let's take it off.
28668,"Son, I'm retiring... and I got fuckin' nothin'!",I'm retiring... and I have nothing!
28669,he can kill himself all that night!,That could kill the whole night!
28670,"Let's say that we start passing out assorted fairy-tales - this story to some pick-pocket, another to some beggar or whore.","let's say we start releasing suitably edited fairy tales - one story of a pickpocket, another beggar or whore."
28671,I beat a crazy rush of gay guys.,To beat the mad rush of lovestruck guys.
28672,"well, at this age, he was completely absorbed...... by what Freud would call a phallic stage...... psychosexual.","Oh, well, at that age, he was well enmeshed in what Freud would call the phallic stage of psychosexual development. 那时他正深陷于弗洛伊德所谓的 心理性发展之生殖器崇拜阶段"
28673,That and you want to have a half-black Fairuza Balk baby with his sister.,"for that and that you want to have a half-black baby with his sister, similar to Fairuz Ballance."
28674,I got fucking diapers!,I carry diapers!
28675,"all right, you junkie.","Nice going, junkie."
28676,"Lots of miserable, dehydrated people with high fevers and diarrhea.",a lot of poor and dehydrated people with fever and diarrhea.
28677,call the bomb squad.,Call Bomb Disposal.
28678,what on earth are you laughing at?,Why on earth do you laugh?
28679,We make a movie of me killing them.,we're gonna make a movie like they're killing them.
28680,The boy ran and told the cops and they got up a posse and chased that witch into Miller's swamp.,"the boy ran off and called the cops, and they took the police squad and chased the witch into Miller's swamp."
28681,"if that were the case, I'm sure he would use another brain instead of his own.","If he was, he would've, I'm sure, used somebody else's brain rather than his own."
28682,"Walter, why don't you go see a doctor and ask him if he can find some ghostly outline where your balls used to be and then plead with him to stitch another pair back on?","Walter, why don't you go visit a doctor and ask him if he can find your missing egg and ask him if he could bring you a spare?"
28683,my mom was the kind of person who will kill you if you're not careful.,My mom was the kind of person whose love could kill you if you weren't careful.
28684,"Sarah can you please do something, goddamn it!","Sarah, can you do something?"
28685,are you fucking kidding me?,Are you kidding?
28686,"I mean, I've had sex less than 10 times in the last four years.",I've done it like 10 times these four years.
28687,"The last thing I wanted to do is to tell this man that I don't have his shit. Right, right.",the last thing I want to do is tell this guy I don't have his stuff.
28688,"I may be cosseted, but I'm not a fool.","I may be blurry, but I'm not a fool."
28689,a political addict.,Political junkie.
28690,we have to go down this enemy's throat and we'll find him.,"We will hunt down this enemy. And when we do, we'll know just what to do with them."
28691,"""Don't be an asshole.""","""don't be rude."""
28692,but the naked lady.,Or the naked lady's.
28693,the only rich person who likes me is a teenage sucker.,The only person with money that finds me attractive is a teenage boy.
28694,Then Mr. Blonde starts to shoot all the em-,then Mr. Blonde started shooting at everybody.
28695,I was just telling him how you fucked up my tennis game. - What did he say?,I only told him how you prepared me for tennis.
28696,"We even got horse pussy, dog pussy, chicken pussy.","you can have horse, dog and chicken."
28697,Why does the figure of the Ship of Fools and its insane crew all at once invade the most familiar landscapes?,"why, in the middle of the most commonly known landscapes, does the silhouette of the Ship and the Fool appear to be confused by her crew?"
28698,What the heck?,"yeah, why the hell not?"
28699,"I've only played in idiotic games for six years, and if I finally get a chance, I'll do it!","I've done nothing but crappy plays for six years. . . . . .and I finally get my shot,and I blow it!"
28700,"you said they weren't gonna find us, and now I'm on the phone to kill one of my people.","You said they wouldn't find us, and I hear one of my people killed on the line!"
28701,"No, no, don't be silly.","no, not at all."
28702,"you lie, you're all lying!",You're lying. You're all lying!
28703,"Spin me a story, asshole. What I do on my time is my business, sergeant.","what I do in my spare time is my business, Sergeant."
28704,1 2 years undercover and my own wife don't even fucking know.,"for 12 years undercover, even my wife doesn't know about it."
28705,"get out of the way, asshole.","Out of my way, punk!"
28706,Damn! That's two for two.,"hell, that's two out of two!"
28707,what is this shameless young meat?,Who be these cheeky young things?
28708,I hope you like madmen.,"I hope you like, uh, Mad-e-leines..."
28709,Let's go have sex in a tree.,let's go to the tree.
28710,"No, no, no, drain all his blood. Then reconstitute it into refined plasma, ready to activate, the clone. -Well... wouldn't that kill him?","no no, release all the blood, then reconstitute it into a clean plasma prepared to activate its clone."
28711,Holy shit.,"oh, hell."
28712,They'll fight till one of them dies.,they'll fight until one dies.
28713,"They die, just like us.",they die as much as we do.
28714,Killed myself so many gooks with it the captain said I could keep it.,I killed so much yellow that the captain told me to keep her.
28715,"go away, dog!",Bad dog! Go away!
28716,Looks like some dog in my shell.,it looks like my dog is eating into the conch.
28717,"Shit, we blew a fuse.","Kate, they blew the fuse."
28718,he fucked up.,That's messed up.
28719,you're just blowing his mouth.,Just breathe into his mouth.
28720,Why would You be so cruel as to choose a chain of fucking Hibachi Restaurants to take me down?,why would you be so cruel to pick a chain zapped by Hibachi restaurants to take me down?
28721,I got a black lab I gotta get rid of.,I have a black Labrador I have to get rid of.
28722,"Michael, she stripped down butt-ass naked.","Michael, she stood naked in front of me."
28723,"simply put, she has never seen such an ugly face.",Quite simply she'd never seen in the flesh a face so ugly.
28724,what the hell is that?,What the heck is it?
28725,I'll convince you to shoot in Vancouver.,by convincing you to shoot in Vancouver.
28726,They're like a nasty wolf pack.,they're like gleeful wolf packs.
28727,He'd never be foolish enough to put this place in irresponsible hands!,he would never put this in irresponsible hands!
28728,I-I need the real shit --,I need something real...
28729,does Wage want to kill him to warn others?,Would Wage have him killed to make an example?
28730,You are an escaped convict.,you escaped from prison.
28731,You wouldn't have a fag would you?,do you have a cigarette?
28732,when was the last time you had intercourse?,When is the last time you had mono?
28733,You fucking betrayed me.,you betrayed me.
28734,"He killed a guy--shot him, right in the missile room--before I got aboard.","he killed one man - he shot him, in a room with a rake - before I got on board."
28735,fire to bring annoyance and death to the tribe.,Fire will bring trouble and death to the tribe.
28736,"he didn't mind killing his parents, but he couldn't handle losing his son.","He was willing to lose his parents, but he said he couldn't bear to lose another child."
28737,please don't fuck in the pisdos.,Please do not defecate in the urinals.
28738,Now you go get her and get the fuck out of here.,now pick it up and get out of here.
28739,"If any of you guys throw that cat again, I'll make you eat it.","if you threw it at me, you'd have had to eat it."
28740,the blade will cut the jugular.,The blade pierces the carotid artery.
28741,By the way... I think I know who dad was fucking.,by the way...... think I know who my father was.
28742,"Warwick slammed the Wolf on the basin, which hovered at exactly the height of his testicles.","Warwick sent Wolf crashing into the sinks, which were just the right height to catch him in the privates."
28743,"Okay, so, you know when you're screaming at a cheerleader for kicking too high, and she starts to cry, and snot starts to run down her face, and you could get her a Kleenex, but you don't, because you don't give a crap?","you know how you're yelling at the cheerleader that he's kicking too high, and she's crying and she's gonna run her noodle, and you could give her a tissue, but you won't, 'cause she doesn't care about you?"
28744,If she doesn't dump your wussy ass after that... ...then comes the big one: the proposal.,"if he doesn't dump you after this, there will be a big time: A proposal."
28745,What? My tits.,breasts.
28746,"""it was just a stupid joke!""","""It was merely a poor joke!"""
28747,are you some kind of devil-devil?,You some kind of devil worshipper?
28748,I have not passed through fire and death... ...to bandy crooked wordswith a witless worm.,I didn't go through fire and death to be denied with the most astute worm.
28749,"we support Bavaria against this Theresa, and then bloody England mingle.","So we back Bavaria against Therese-what's it. And, suddenly, those beastly English step in."
28750,"I have dark hair, dark eyes and a nipple ring.","I have dark hair, dark eyes and a nippJe key ring."
28751,"Belamy was such a good friend that when Peter was station chief in London, the Englishman had told him bluntly to get out for a while before the whisky took over altogether and his ass was nailed to an alcoholic cross:","Belamy was such a good friend that Peter, who served as a CIA resident in London at the time, told the plain to stop drinking before the whisky was overtaken and added to an alcoholic cross."
28752,"you know, Felicia, I hate two things about you.",You know there are two things I don't like about you Felicia...
28753,"the man came to help us, and I'd like you not to kill him until he gives me the wound. ""","This man came to help us, and I’d as soon you didn’t kill him before he’s finished sealing this scratch.’"
28754,This has never been anything more... than a juvenile dick- measuring contest.,it was never any bigger than a children's race to measure the birds.
28755,damn you!,You! Dirtiness!
28756,we have to sit on our asses.,We gotta sit tight.
28757,"If there was any game, it was all scared off by the noises his stupid machines made.","if there was something there, it would scare the crap out of all the machines."
28758,don't fucking do it.,Sh\xA1t don't make no sense.
28759,can you see the devil in her eyes?,Don't you see the evil in her eyes?
28760,"Don't be a killjoy, dance. I'll watch him.",don't spoil the fun. Go and dance.
28761,"""let the goose kick me,"" said Bush.","""Dash my wig,"" said Bush from the bed."
28762,a murder that must be committed.,A murder yet... to be committed!
28763,"I'm not in the street, you fairy!","I'm not on the street, boy."
28764,"of course, it's not freedom, but it's fucking close.","That's... - it ain't freedom,but it's damn close."
28765,"Shit! Hey, hey, hey...","hey, hey, hey!"
28766,he's useless to death.,He's no good to us dead.
28767,I was passing by and I could see the thing flying...... as you call it...... balls.,I was passing by and saw a flying thing... a... whatever you call it... a sphere.
28768,"I have seen some crazy shit, Dom, but this really could make some waves.","I've done a lot of crazy stuff, Dom, but the stakes are huge."
28769,I'm fucking scared.,I'm so scared.
28770,"I'm a thug, and they're the police.",I'm a punk and they're cops.
28771,you have tits?,Got jugs?
28772,"my life is useless, but yours is rare.",Because even though my life isn't very important... ...yours is.
28773,"now, everybody shut up and don't move!","OK, everyone be very quiet and do not move!"
28774,stab your heart.,Stabbing her own heart.
28775,"we girls stayed up all night, drank, smoked, experimented in sex.","Us girls would stay up all night drinking, smoking, sexually experimenting."
28776,the only solution may be to destroy them.,Extermination may be our only choice.
28777,I'll scratch her eyes out if she goes after you.,I'll scratch her eyes out if she keeps on you.
28778,You couldn't even make a goddamn cake.,you can't even bake a bloody pie!
28779,he should have died so that there was no explanation for the fact that any of his escorts had killed him.,He was supposed to have died in a way that the only possible explanation was... ...that he'd been murderedby a member of his own entourage.
28780,I'll have you erase from this world just like this tattoo.,"I've erased all of you, just like the tattoo."
28781,the government let us rot.,Government's left us here to rot.
28782,or he should die.,Or should have.
28783,you have to leave this track before he kills you.,"You gotta get outta this life, before it kills you."
28784,You're a bucket...,you're a shovel...
28785,I'm sorry. Maybe he's a little dirty.,I'm so sorry... but it might be a little dirty.
28786,Oh! Get the fuck outta here!,let's get out of here!
28787,her nipples weren't hard.,Nipples no longer hard.
28788,"when they left Inga people, they left all this junk behind.","When lngen cleared out, they left a lot of stuff behind."
28789,she should hate you!,She's supposed to hate you.
28790,"it's ridiculous to think that in a city like Rio, cops are going to the slums to enforce the law.","It's crazy to think that in a city like Rio, cops just go into slums to enforce the law."
28791,It looks ridiculous.,she looks comical.
28792,If you got such a fucking paradise over there... ...how come you're up the same creek with heroin and cocaine?,"when it's your place in heaven, how come you have the same heroin problem and cocaine as we do?"
28793,I always screwed Tartuff.,"I've always failed with ""Tartuffe""."
28794,your whore wasn't bad.,Your woman wasn't bad.
28795,"""I've been an idiot all the way.""","""I did one foolish thing for another."""
28796,That's a damn lie!,that's a lie!
28797,But I'm used to it. I've been criticized by imbeciles all my life.,"all my life, I've been against each other."
28798,I told you not to listen to that lying bastard!,I told you not to listen to him.
28799,you know I hate this shit!,You know this is what I hate!
28800,King illegal forest... to pig wild kill in it a is!,the king's illegal woods..... .Wild pig... Killed.
28801,Just bite the bullet and have a Cobb salad with the woman.,why don't you just grab that and have a salad with that woman Cobb salad?
28802,Probably out fucking that dorky Prince of Real Estate asshole.,he's probably hanging around with that prince of real estate.
28803,I can tie you up if you want.,If you wish I can tie it for you.
28804,"He accused Goldman of trying to keep his daughter like an exhibit in a museum, of having no regard for anyone but himself, and of being an overbearing, thoughtless bastard.","he accused Goldman of taking a museum exhibit from her daughter, that she didn't even look back at anyone, and that he was rude and blunt."
28805,"You know, you really got some nigga ears, honey.","you know, baby, you've got really bad ears."
28806,"officials, supervisors, supervisors, accountants, and generally a crowd of parasites from a better society were around the hammer, supervisors, accountants, and generally a crowd of parasites from a better society, but as well as asking them, they couldn't hide their primitive animal nature.","Officials, supervisors, assayers, clerks, guards, and, in general, the usual crowd of parasitical gentlefolk clustered around the brute with the hammer, but like lice on an ox they could not conceal the simple nature of the beast."
28807,The fight wasn't approved. fuck. but don't worry.,the fight hasn't been approved.
28808,Oh... You're horrible neighbors!,you're terrible neighbors!
28809,don't let me hang.,"Don't leave me hanging,"
28810,he won't kill you.,He is not going to kill you.
